postcode,place_name,state_name,state_code,latitude,longitude,accuracy
200,Australian National University,Australian Capital Territory,ACT,-35.2777,149.1189,1.0
221,Barton,Australian Capital Territory,ACT,-35.3049,149.1412,4.0
2540,Wreck Bay,Australian Capital Territory,ACT,-35.1627,150.6907,4.0
2540,Hmas Creswell,Australian Capital Territory,ACT,-35.028,150.5501,3.0
2540,Jervis Bay,Australian Capital Territory,ACT,-35.1333,150.7,4.0
2600,Deakin West,Australian Capital Territory,ACT,-35.3126,149.1278,3.0
2600,Duntroon,Australian Capital Territory,ACT,-35.3,149.1667,4.0
2600,Parliament House,Australian Capital Territory,ACT,-35.3126,149.1278,3.0
2600,Yarralumla,Australian Capital Territory,ACT,-35.2998,149.1058,4.0
2600,Russell,Australian Capital Territory,ACT,-35.2977,149.151,4.0
2600,Barton,Australian Capital Territory,ACT,-35.3049,149.1412,4.0
2600,Deakin,Australian Capital Territory,ACT,-35.3193,149.1031,4.0
2600,Capital Hill,Australian Capital Territory,ACT,-35.3066,149.1246,4.0
2600,Parkes,Australian Capital Territory,ACT,-35.3018,149.1304,4.0
2600,Harman,Australian Capital Territory,ACT,-35.35,149.2,4.0
2600,Hmas Harman,Australian Capital Territory,ACT,-35.31,149.1385,3.0
2600,Canberra,Australian Capital Territory,ACT,-35.2835,149.1281,4.0
2601,City,Australian Capital Territory,ACT,-35.2813,149.1293,4.0
2601,Canberra,Australian Capital Territory,ACT,-35.2835,149.1281,4.0
2601,Acton,Australian Capital Territory,ACT,-35.2777,149.1183,4.0
2601,Black Mountain,Australian Capital Territory,ACT,-35.2772,149.1054,3.0
2602,Downer,Australian Capital Territory,ACT,-35.2446,149.1447,4.0
2602,Hackett,Australian Capital Territory,ACT,-35.2495,149.1635,4.0
2602,Watson,Australian Capital Territory,ACT,-35.2381,149.1527,4.0
2602,Lyneham,Australian Capital Territory,ACT,-35.2398,149.1307,4.0
2602,O'Connor,Australian Capital Territory,ACT,-35.2564,149.1125,4.0
2602,Ainslie,Australian Capital Territory,ACT,-35.2625,149.1437,4.0
2602,Dickson,Australian Capital Territory,ACT,-35.2508,149.1393,4.0
2603,Red Hill,Australian Capital Territory,ACT,-35.3262,149.1191,4.0
2603,Manuka,Australian Capital Territory,ACT,-35.3126,149.1278,3.0
2603,Griffith,Australian Capital Territory,ACT,-35.3253,149.1371,4.0
2603,Forrest,Australian Capital Territory,ACT,-35.315,149.1286,4.0
2604,Narrabundah,Australian Capital Territory,ACT,-35.3357,149.1492,4.0
2604,Causeway,Australian Capital Territory,ACT,-35.3151,149.1512,4.0
2604,Kingston,Australian Capital Territory,ACT,-35.3152,149.1466,4.0
2605,Hughes,Australian Capital Territory,ACT,-35.3327,149.0949,4.0
2605,Garran,Australian Capital Territory,ACT,-35.3421,149.1085,4.0
2605,Curtin,Australian Capital Territory,ACT,-35.3246,149.0776,4.0
2606,O'Malley,Australian Capital Territory,ACT,-35.3525,149.1128,4.0
2606,Lyons,Australian Capital Territory,ACT,-35.3406,149.074,4.0
2606,Chifley,Australian Capital Territory,ACT,-35.3534,149.0768,4.0
2606,Woden,Australian Capital Territory,ACT,-35.3481,149.0905,3.0
2606,Phillip,Australian Capital Territory,ACT,-35.3503,149.0915,4.0
2606,Swinger Hill,Australian Capital Territory,ACT,-35.3481,149.0905,3.0
2607,Isaacs,Australian Capital Territory,ACT,-35.3686,149.1156,4.0
2607,Torrens,Australian Capital Territory,ACT,-35.372,149.0877,4.0
2607,Mawson,Australian Capital Territory,ACT,-35.3634,149.0986,4.0
2607,Farrer,Australian Capital Territory,ACT,-35.3767,149.105,4.0
2607,Pearce,Australian Capital Territory,ACT,-35.3622,149.0834,4.0
2608,Civic Square,Australian Capital Territory,ACT,-35.31,149.1933,1.0
2609,Pialligo,Australian Capital Territory,ACT,-35.3201,149.207,4.0
2609,Canberra Airport,Australian Capital Territory,ACT,-35.3172,149.1753,3.0
2609,Fyshwick,Australian Capital Territory,ACT,-35.3333,149.1667,4.0
2609,Symonston,Australian Capital Territory,ACT,-35.3516,149.1592,4.0
2609,Majura,Australian Capital Territory,ACT,-35.2667,149.2,4.0
2610,Canberra Bc,Australian Capital Territory,ACT,-35.2778,149.0111,1.0
2610,Canberra Mc,Australian Capital Territory,ACT,-35.2498,149.0591,1.0
2611,Stirling,Australian Capital Territory,ACT,-35.3497,149.0493,4.0
2611,Wright,Australian Capital Territory,ACT,-35.3224,149.0346,4.0
2611,Coree,Australian Capital Territory,ACT,-35.2794,148.9194,4.0
2611,Uriarra Village,Australian Capital Territory,ACT,-35.3503,149.0155,3.0
2611,Holder,Australian Capital Territory,ACT,-35.3344,149.0461,4.0
2611,Stromlo,Australian Capital Territory,ACT,-35.3255,148.9993,4.0
2611,Waramanga,Australian Capital Territory,ACT,-35.353,149.0621,4.0
2611,Chapman,Australian Capital Territory,ACT,-35.3562,149.0374,4.0
2611,Weston Creek,Australian Capital Territory,ACT,-35.3333,149.05,4.0
2611,Mount Stromlo,Australian Capital Territory,ACT,-35.4171,148.7769,3.0
2611,Weston,Australian Capital Territory,ACT,-35.3358,149.0593,4.0
2611,Coombs,Australian Capital Territory,ACT,-35.3163,149.0394,4.0
2611,Uriarra,Australian Capital Territory,ACT,-35.4171,148.7769,3.0
2611,Duffy,Australian Capital Territory,ACT,-35.3346,149.0319,4.0
2611,Fisher,Australian Capital Territory,ACT,-35.3613,149.057,4.0
2611,Rivett,Australian Capital Territory,ACT,-35.3471,149.0379,4.0
2612,Campbell,Australian Capital Territory,ACT,-35.2891,149.1538,4.0
2612,Turner,Australian Capital Territory,ACT,-35.2688,149.1247,4.0
2612,Reid,Australian Capital Territory,ACT,-35.2858,149.1391,4.0
2612,Braddon,Australian Capital Territory,ACT,-35.2708,149.1357,4.0
2614,Cook,Australian Capital Territory,ACT,-35.2601,149.0657,4.0
2614,Aranda,Australian Capital Territory,ACT,-35.2582,149.0804,4.0
2614,Page,Australian Capital Territory,ACT,-35.2386,149.0499,4.0
2614,Hawker,Australian Capital Territory,ACT,-35.2471,149.0367,4.0
2614,Scullin,Australian Capital Territory,ACT,-35.2346,149.039,4.0
2614,Jamison Centre,Australian Capital Territory,ACT,-35.2498,149.0591,3.0
2614,Weetangera,Australian Capital Territory,ACT,-35.2498,149.0591,3.0
2614,Macquarie,Australian Capital Territory,ACT,-35.2513,149.0636,4.0
2615,Fraser,Australian Capital Territory,ACT,-35.1917,149.0453,4.0
2615,Spence,Australian Capital Territory,ACT,-35.1987,149.0644,4.0
2615,Florey,Australian Capital Territory,ACT,-35.2259,149.05,4.0
2615,Holt,Australian Capital Territory,ACT,-35.2244,149.0119,4.0
2615,Charnwood,Australian Capital Territory,ACT,-35.2002,149.0341,4.0
2615,Higgins,Australian Capital Territory,ACT,-35.2324,149.0272,4.0
2615,Dunlop,Australian Capital Territory,ACT,-35.194,149.0198,4.0
