postcode,place_name,state_name,state_code,latitude,longitude,accuracy
1001,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1002,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1003,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1004,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1005,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1006,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1007,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1008,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1009,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1010,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1011,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1020,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1021,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1022,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1023,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1025,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1026,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1027,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1028,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1029,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1030,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1031,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1032,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1033,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1034,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1035,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1036,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1037,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1038,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1039,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1040,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1041,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1042,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1043,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1044,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1045,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1046,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1100,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1101,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1105,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1106,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1107,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1108,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1109,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1110,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1112,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1113,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1114,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1115,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1116,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1117,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1118,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
1119,Sydney,New South Wales,NSW,-33.8678,151.2073,4.0
