postcode,place_name,state_name,state_code,latitude,longitude,accuracy
800,Darwin,Northern Territory,NT,-12.4611,130.8418,4.0
801,Darwin,Northern Territory,NT,-12.4611,130.8418,4.0
803,Wagait Beach,Northern Territory,NT,-12.4348,130.7443,4.0
804,Parap,Northern Territory,NT,-12.4305,130.8414,4.0
810,Casuarina,Northern Territory,NT,-12.374,130.8822,4.0
810,Tiwi,Northern Territory,NT,-12.3588,130.878,4.0
810,Lyons,Northern Territory,NT,-12.3591,130.8885,4.0
810,Nightcliff,Northern Territory,NT,-12.383,130.8517,4.0
810,Brinkin,Northern Territory,NT,-12.3706,130.868,4.0
810,Moil,Northern Territory,NT,-12.3885,130.8809,4.0
810,Millner,Northern Territory,NT,-12.3919,130.8625,4.0
810,Jingili,Northern Territory,NT,-12.3889,130.8728,4.0
810,Rapid Creek,Northern Territory,NT,-12.3804,130.8592,4.0
810,Alawa,Northern Territory,NT,-12.3795,130.8732,4.0
810,Muirhead,Northern Territory,NT,-12.3586,130.8935,4.0
810,Nakara,Northern Territory,NT,-12.3705,130.8773,4.0
810,Wagaman,Northern Territory,NT,-12.3807,130.8854,4.0
810,Coconut Grove,Northern Territory,NT,-12.396,130.8519,4.0
810,Wanguri,Northern Territory,NT,-12.3713,130.8881,4.0
810,Lee Point,Northern Territory,NT,-12.3415,130.8895,4.0
811,Casuarina,Northern Territory,NT,-12.374,130.8822,4.0
812,Sanderson,Northern Territory,NT,-12.3792,130.8784,3.0
812,Marrara,Northern Territory,NT,-12.4004,130.8929,4.0
812,Leanyer,Northern Territory,NT,-12.3667,130.9,4.0
812,Anula,Northern Territory,NT,-12.3912,130.8905,4.0
812,Woodleigh Gardens,Northern Territory,NT,-12.3792,130.8784,3.0
812,Malak,Northern Territory,NT,-12.3929,130.904,4.0
812,Buffalo Creek,Northern Territory,NT,-12.3368,130.9054,4.0
812,Holmes,Northern Territory,NT,-37.814,144.9633,3.0
812,Karama,Northern Territory,NT,-12.4022,130.916,4.0
812,Wulagi,Northern Territory,NT,-12.3834,130.8954,4.0
813,Sanderson,Northern Territory,NT,-12.3792,130.8784,3.0
813,Karama,Northern Territory,NT,-12.4022,130.916,4.0
814,Nightcliff,Northern Territory,NT,-12.383,130.8517,4.0
815,Charles Darwin University,Northern Territory,NT,-12.3792,130.8784,1.0
820,Winnellie,Northern Territory,NT,-12.4292,130.8859,4.0
820,East Point,Northern Territory,NT,-12.4078,130.8194,4.0
820,Bagot,Northern Territory,NT,-12.4153,130.8568,4.0
820,Charles Darwin,Northern Territory,NT,-12.4338,130.8737,4.0
820,Darwin DC,Northern Territory,NT,-12.4252,130.8697,3.0
820,Coonawarra,Northern Territory,NT,-12.4341,130.9098,4.0
820,Stuart Park,Northern Territory,NT,-12.445,130.843,4.0
820,Ludmilla,Northern Territory,NT,-12.4203,130.8551,4.0
820,Darwin International Airport,Northern Territory,NT,-12.4252,130.8697,3.0
820,Fannie Bay,Northern Territory,NT,-12.4227,130.8363,4.0
820,The Gardens,Northern Territory,NT,-12.449,130.8316,4.0
820,Larrakeyah,Northern Territory,NT,-12.4553,130.8317,4.0
820,Eaton,Northern Territory,NT,-12.4124,130.8807,4.0
820,Bayview,Northern Territory,NT,-12.4336,130.857,4.0
820,Woolner,Northern Territory,NT,-12.4354,130.8479,4.0
820,Parap,Northern Territory,NT,-12.4305,130.8414,4.0
820,The Narrows,Northern Territory,NT,-12.4264,130.8595,4.0
821,Winnellie,Northern Territory,NT,-12.4292,130.8859,4.0
822,Milyakburra,Northern Territory,NT,-13.7794,136.2019,4.0
822,Blackmore,Northern Territory,NT,-12.7593,130.9382,4.0
822,Murrumujuk,Northern Territory,NT,-12.2609,131.0717,4.0
822,Maningrida,Northern Territory,NT,-12.0674,134.0866,4.0
822,Nganmarriyanga,Northern Territory,NT,-14.335,129.8835,4.0
822,Gunbalanya,Northern Territory,NT,-12.3247,133.0509,4.0
822,Tiwi Islands,Northern Territory,NT,-11.5602,130.8174,4.0
822,Coomalie Creek,Northern Territory,NT,-12.6978,130.8459,3.0
822,Darwin River Dam,Northern Territory,NT,-12.6978,130.8459,3.0
822,Acacia Hills,Northern Territory,NT,-12.7941,131.1254,4.0
822,Charles Darwin,Northern Territory,NT,-12.4338,130.8737,4.0
822,Anindilyakwa,Northern Territory,NT,-12.6978,130.8459,3.0
822,Daly River,Northern Territory,NT,-13.7654,130.7123,4.0
822,Lloyd Creek,Northern Territory,NT,-12.6767,131.1338,4.0
822,Mandorah,Northern Territory,NT,-12.4457,130.7574,4.0
822,Thamarrurr,Northern Territory,NT,-14.2032,129.7052,4.0
822,East Arnhem,Northern Territory,NT,-12.6978,130.8459,3.0
822,Wickham,Northern Territory,NT,-12.5539,130.9223,4.0
822,Numbulwar,Northern Territory,NT,-14.2761,135.7372,4.0
822,Darwin Mc,Northern Territory,NT,-13.0616,132.8034,3.0
822,Nauiyu,Northern Territory,NT,-13.7425,130.6956,4.0
822,Tumbling Waters,Northern Territory,NT,-12.7685,130.95,4.0
822,Kakadu,Northern Territory,NT,-12.8685,132.474,4.0
822,Bathurst Island,Northern Territory,NT,-12.6978,130.8459,3.0
822,Wadeye,Northern Territory,NT,-14.2383,129.5218,4.0
822,Hughes,Northern Territory,NT,-12.7007,131.0981,4.0
822,Marrakai,Northern Territory,NT,-12.7505,131.4806,4.0
822,Delissaville,Northern Territory,NT,-13.0616,132.8034,3.0
822,Pularumpi,Northern Territory,NT,-11.4049,130.4156,4.0
822,Pirlangimpi,Northern Territory,NT,-11.403,130.429,4.0
822,Croker Island,Northern Territory,NT,-13.0616,132.8034,3.0
822,Peppimenarti,Northern Territory,NT,-14.1555,130.0815,4.0
822,Douglas-Daly,Northern Territory,NT,-12.6978,130.8459,3.0
822,Numburindi,Northern Territory,NT,-13.9293,135.704,4.0
822,Litchfield Park,Northern Territory,NT,-12.6978,130.8459,3.0
822,Wurrumiyanga,Northern Territory,NT,-11.7608,130.6256,4.0
822,Nemarluk,Northern Territory,NT,-14.2768,130.3759,4.0
822,West Arnhem,Northern Territory,NT,-12.2352,134.0603,4.0
822,Umbakumba,Northern Territory,NT,-13.0616,132.8034,3.0
822,Charlotte,Northern Territory,NT,-12.6978,130.8459,3.0
822,Hidden Valley,Northern Territory,NT,-12.4424,130.9094,4.0
822,Southport,Northern Territory,NT,-12.7218,130.9514,4.0
822,Bynoe Harbour,Northern Territory,NT,-12.6978,130.8459,3.0
822,Warruwi,Northern Territory,NT,-11.6457,133.3884,4.0
822,Angurugu,Northern Territory,NT,-13.0616,132.8034,3.0
822,Cox Peninsula,Northern Territory,NT,-12.4268,130.6408,4.0
822,Bynoe,Northern Territory,NT,-12.6978,130.8459,3.0
822,Black Jungle,Northern Territory,NT,-12.5138,131.2193,4.0
822,Weddell,Northern Territory,NT,-12.6978,130.8459,3.0
822,Fly Creek,Northern Territory,NT,-12.776,131.0445,4.0
