postcode,place_name,state_name,state_code,latitude,longitude,accuracy
4000,Brisbane City,Queensland,QLD,-27.4679,153.0281,4.0
4000,Brisbane Adelaide Street,Queensland,QLD,-27.454,153.0426,3.0
4000,Brisbane,Queensland,QLD,-27.4679,153.0281,4.0
4000,Petrie Terrace,Queensland,QLD,-27.463,153.0131,4.0
4000,Spring Hill,Queensland,QLD,-27.4614,153.0231,4.0
4000,Brisbane GPO,Queensland,QLD,-27.4651,153.0231,3.0
4001,Brisbane,Queensland,QLD,-27.4679,153.0281,4.0
4001,Central Plaza,Queensland,QLD,-27.5,153.0167,3.0
4001,Riverside Centre,Queensland,QLD,-27.5,153.0167,3.0
4001,Waterfront Place,Queensland,QLD,-27.5,153.0167,3.0
4002,City East,Queensland,QLD,-27.454,153.0426,1.0
4002,Wintergarden,Queensland,QLD,-27.454,153.0426,1.0
4003,George Street,Queensland,QLD,-27.454,153.0426,1.0
4004,Spring Hill,Queensland,QLD,-27.4614,153.0231,4.0
4005,New Farm,Queensland,QLD,-27.4667,153.05,4.0
4005,Teneriffe,Queensland,QLD,-27.4559,153.047,4.0
4006,Newstead,Queensland,QLD,-27.4436,153.0443,4.0
4006,Fortitude Valley BC,Queensland,QLD,-27.4473,153.032,3.0
4006,Bowen Hills,Queensland,QLD,-27.4432,153.0302,4.0
4006,Herston,Queensland,QLD,-27.4445,153.0185,4.0
4006,Fortitude Valley,Queensland,QLD,-27.4571,153.0318,4.0
4007,Hamilton,Queensland,QLD,-27.439,153.0629,4.0
4007,Ascot,Queensland,QLD,-27.4315,153.058,4.0
4007,Hamilton Central,Queensland,QLD,-27.4417,153.0667,3.0
4008,Pinkenba,Queensland,QLD,-27.428,153.1167,4.0
4008,Brisbane Airport,Queensland,QLD,-27.3947,153.114,4.0
4009,Eagle Farm BC,Queensland,QLD,-27.4306,153.0906,3.0
4009,Eagle Farm,Queensland,QLD,-27.4333,153.0833,4.0
4010,Albion DC,Queensland,QLD,-27.4301,153.0379,3.0
4010,Albion,Queensland,QLD,-27.4301,153.0379,4.0
4010,Albion BC,Queensland,QLD,-27.4301,153.0379,3.0
4011,Clayfield,Queensland,QLD,-27.4189,153.0582,4.0
4011,Hendra,Queensland,QLD,-27.4177,153.0703,4.0
4012,Nundah,Queensland,QLD,-27.4025,153.0617,4.0
4012,Wavell Heights,Queensland,QLD,-27.3938,153.047,4.0
4012,Toombul,Queensland,QLD,-27.4096,153.0584,4.0
4012,Wavell Heights North,Queensland,QLD,-27.3974,153.0546,3.0
4013,Northgate,Queensland,QLD,-27.4,153.0667,4.0
4014,Nudgee Beach,Queensland,QLD,-27.3462,153.1037,4.0
4014,Banyo,Queensland,QLD,-27.3824,153.079,4.0
4014,Virginia,Queensland,QLD,-27.3833,153.0667,4.0
4014,Virginia BC,Queensland,QLD,-27.3783,153.0768,3.0
4014,Nudgee,Queensland,QLD,-27.3691,153.0847,4.0
4014,Virginia DC,Queensland,QLD,-27.3783,153.0768,3.0
4017,Brighton,Queensland,QLD,-27.2958,153.0572,4.0
4017,Brighton Nathan Street,Queensland,QLD,-27.3192,153.0612,3.0
4017,Deagon,Queensland,QLD,-27.3333,153.0667,4.0
4017,Sandgate,Queensland,QLD,-27.322,153.0695,4.0
4017,Shorncliffe,Queensland,QLD,-27.3276,153.0816,4.0
4017,Brighton Eventide,Queensland,QLD,-27.3192,153.0612,3.0
4017,Bracken Ridge,Queensland,QLD,-27.3171,153.031,4.0
4017,Sandgate DC,Queensland,QLD,-27.3192,153.0612,3.0
4018,Taigum,Queensland,QLD,-27.3426,153.0444,4.0
4018,Fitzgibbon,Queensland,QLD,-27.3397,153.0292,4.0
4019,Woody Point,Queensland,QLD,-27.2561,153.1043,4.0
4019,Margate,Queensland,QLD,-27.2476,153.0981,4.0
4019,Margate Beach,Queensland,QLD,-27.2473,153.0905,3.0
4019,Clontarf,Queensland,QLD,-27.2534,153.0783,4.0
4019,Clontarf DC,Queensland,QLD,-27.2524,153.0936,3.0
4019,Clontarf Beach,Queensland,QLD,-27.2524,153.0936,3.0
4020,Newport,Queensland,QLD,-27.2073,153.1013,4.0
4020,Redcliffe North,Queensland,QLD,-27.213,153.103,3.0
4020,Scarborough,Queensland,QLD,-27.2012,153.1094,4.0
4020,Redcliffe,Queensland,QLD,-27.2307,153.0973,4.0
4021,Kippa-Ring,Queensland,QLD,-27.2259,153.0835,4.0
