postcode,place_name,state_name,state_code,latitude,longitude,accuracy
872,Nyapari,South Australia,SA,-23.3256,133.0557,3.0
872,Fregon,South Australia,SA,-26.7639,132.0277,3.0
872,Mimili,South Australia,SA,-23.3256,133.0557,3.0
872,Indulkana,South Australia,SA,-26.96,133.3058,3.0
872,Ernabella,South Australia,SA,-23.7917,132.6818,3.0
5000,Adelaide,South Australia,SA,-34.9287,138.5986,4.0
5000,Rundle Mall,South Australia,SA,-34.9286,138.6007,3.0
5000,Hutt Street,South Australia,SA,-34.9286,138.6007,3.0
5000,Halifax Street,South Australia,SA,-34.9286,138.6007,3.0
5000,Station Arcade,South Australia,SA,-34.9286,138.6007,3.0
5000,Adelaide Bc,South Australia,SA,-34.9286,138.6007,3.0
5000,City West Campus,South Australia,SA,-34.9287,138.5986,3.0
5000,Sturt Street,South Australia,SA,-34.9287,138.5986,3.0
5001,Adelaide,South Australia,SA,-34.9287,138.5986,4.0
5005,University Of Adelaide,South Australia,SA,-34.9006,138.5702,1.0
5005,The University Of Adelaide,South Australia,SA,-34.9006,138.5702,1.0
5005,Adelaide University,South Australia,SA,-34.9006,138.5702,1.0
5006,North Adelaide,South Australia,SA,-34.9073,138.5914,4.0
5006,North Adelaide Melbourne St,South Australia,SA,-34.9006,138.5702,3.0
5007,Welland,South Australia,SA,-34.9,138.5333,4.0
5007,West Hindmarsh,South Australia,SA,-34.9079,138.5641,4.0
5007,Hindmarsh,South Australia,SA,-34.9014,138.575,4.0
5007,Brompton,South Australia,SA,-34.8944,138.5782,4.0
5007,Bowden,South Australia,SA,-34.9026,138.5791,4.0
5008,Dudley Park,South Australia,SA,-34.8756,138.5773,4.0
5008,West Croydon,South Australia,SA,-34.8945,138.5593,4.0
5008,Croydon,South Australia,SA,-34.9006,138.5702,3.0
5008,Devon Park,South Australia,SA,-34.8865,138.5823,4.0
5008,Renown Park,South Australia,SA,-34.8917,138.5773,4.0
5008,Ridleyton,South Australia,SA,-34.8928,138.5716,4.0
5008,Croydon Park,South Australia,SA,-34.8803,138.5678,4.0
5009,Kilkenny,South Australia,SA,-34.8791,138.5529,4.0
5009,Beverley,South Australia,SA,-34.8951,138.5463,4.0
5009,Allenby Gardens,South Australia,SA,-34.8977,138.5542,4.0
5010,Regency Park,South Australia,SA,-34.8626,138.5724,4.0
5010,Regency Park Bc,South Australia,SA,-34.8626,138.5678,3.0
5010,Ferryden Park,South Australia,SA,-34.8662,138.5618,4.0
5010,Angle Park,South Australia,SA,-34.8599,138.558,4.0
5011,Woodville Park,South Australia,SA,-34.887,138.5465,4.0
5011,St Clair,South Australia,SA,-34.8833,138.55,3.0
5011,Woodville South,South Australia,SA,-34.8819,138.5348,4.0
5011,Woodville West,South Australia,SA,-34.8864,138.5309,4.0
5011,Woodville,South Australia,SA,-34.8833,138.55,4.0
5012,Woodville Gardens,South Australia,SA,-34.8679,138.548,4.0
5012,Mansfield Park,South Australia,SA,-34.8566,138.5519,4.0
5012,Woodville North,South Australia,SA,-34.872,138.5431,4.0
5012,Athol Park,South Australia,SA,-34.8561,138.5428,4.0
5013,Rosewater East,South Australia,SA,-34.8391,138.5496,3.0
5013,Gillman,South Australia,SA,-34.8409,138.5282,4.0
5013,Ottoway,South Australia,SA,-34.8476,138.5357,4.0
5013,Pennington,South Australia,SA,-34.8576,138.5316,4.0
5013,Rosewater,South Australia,SA,-34.852,138.5216,4.0
5013,Wingfield,South Australia,SA,-34.8498,138.5674,4.0
5014,Cheltenham,South Australia,SA,-34.8667,138.5167,4.0
5014,Queenstown,South Australia,SA,-34.8609,138.5105,4.0
5014,Hendon,South Australia,SA,-34.9,138.5167,4.0
5014,Royal Park,South Australia,SA,-34.8742,138.5119,4.0
5014,Albert Park,South Australia,SA,-34.872,138.5197,4.0
5014,Alberton,South Australia,SA,-34.8593,138.5214,4.0
5015,Port Adelaide,South Australia,SA,-34.85,138.4667,4.0
5015,Ethelton,South Australia,SA,-34.8487,138.491,4.0
