postcode,place_name,state_name,state_code,latitude,longitude,accuracy
7000,Mount Stuart,Tasmania,TAS,-42.8716,147.3016,4.0
7000,North Hobart,Tasmania,TAS,-42.8741,147.316,4.0
7000,Queens Domain,Tasmania,TAS,-42.877,147.3288,3.0
7000,West Hobart,Tasmania,TAS,-42.8766,147.3069,4.0
7000,Glebe,Tasmania,TAS,-42.8747,147.3281,4.0
7000,Hobart,Tasmania,TAS,-42.8794,147.3294,4.0
7001,Hobart,Tasmania,TAS,-42.8794,147.3294,4.0
7002,North Hobart,Tasmania,TAS,-42.8741,147.316,4.0
7004,South Hobart,Tasmania,TAS,-42.8946,147.3092,4.0
7004,Battery Point,Tasmania,TAS,-42.8899,147.3332,4.0
7005,Sandy Bay,Tasmania,TAS,-42.8945,147.3244,4.0
7005,Dynnyrne,Tasmania,TAS,-42.9054,147.3158,4.0
7005,Lower Sandy Bay,Tasmania,TAS,-42.913,147.3532,3.0
7005,University Of Tasmania,Tasmania,TAS,-42.9107,147.3357,3.0
7006,Sandy Bay,Tasmania,TAS,-42.8945,147.3244,4.0
7007,Tolmans Hill,Tasmania,TAS,-42.914,147.3071,4.0
7007,Mount Nelson,Tasmania,TAS,-42.9207,147.3207,4.0
7008,New Town,Tasmania,TAS,-42.8576,147.3087,4.0
7008,Lenah Valley,Tasmania,TAS,-42.8715,147.2751,4.0
7009,West Moonah,Tasmania,TAS,-42.85,147.2818,4.0
7009,Moonah,Tasmania,TAS,-42.8462,147.3023,4.0
7009,Derwent Park,Tasmania,TAS,-42.8351,147.2949,4.0
7009,Lutana,Tasmania,TAS,-42.8347,147.3115,4.0
7010,Rosetta,Tasmania,TAS,-42.821,147.2526,4.0
7010,Montrose,Tasmania,TAS,-42.829,147.2473,4.0
7010,Dowsing Point,Tasmania,TAS,-42.8208,147.3022,4.0
7010,Goodwood,Tasmania,TAS,-42.8282,147.293,4.0
7010,Elwick,Tasmania,TAS,-42.8355,147.2646,3.0
7010,Glenorchy,Tasmania,TAS,-42.8334,147.2759,4.0
7011,Berriedale,Tasmania,TAS,-42.8167,147.25,4.0
7011,Chigwell,Tasmania,TAS,-42.8091,147.2448,4.0
7011,Claremont,Tasmania,TAS,-42.7833,147.25,4.0
7011,Austins Ferry,Tasmania,TAS,-42.7667,147.25,4.0
7012,Collinsvale,Tasmania,TAS,-42.8417,147.1961,4.0
7012,Glenlusk,Tasmania,TAS,-42.8167,147.2,4.0
7015,Geilston Bay,Tasmania,TAS,-42.8296,147.3463,4.0
7015,Lindisfarne,Tasmania,TAS,-42.8484,147.3619,4.0
7015,Rose Bay,Tasmania,TAS,-42.832,147.3227,3.0
7016,Risdon Vale,Tasmania,TAS,-42.8124,147.3565,4.0
7017,Honeywood,Tasmania,TAS,-42.7261,147.2802,4.0
7017,Grasstree Hill,Tasmania,TAS,-42.782,147.3613,3.0
7017,Risdon,Tasmania,TAS,-42.8,147.3333,4.0
7017,Old Beach,Tasmania,TAS,-42.7776,147.2666,4.0
7017,Otago,Tasmania,TAS,-42.8088,147.2984,4.0
7017,Tea Tree,Tasmania,TAS,-42.6833,147.3167,4.0
7018,Rosny,Tasmania,TAS,-42.8707,147.357,4.0
7018,Bellerive,Tasmania,TAS,-42.8755,147.3703,4.0
7018,Montagu Bay,Tasmania,TAS,-42.8626,147.3533,4.0
7018,Rosny Park,Tasmania,TAS,-42.8661,147.3677,4.0
7018,Tranmere,Tasmania,TAS,-42.9218,147.417,4.0
7018,Warrane,Tasmania,TAS,-42.8555,147.383,4.0
7018,Mornington,Tasmania,TAS,-42.8627,147.3982,4.0
7018,Howrah,Tasmania,TAS,-42.8873,147.4055,4.0
7019,Oakdowns,Tasmania,TAS,-42.9018,147.4559,4.0
7019,Clarendon Vale,Tasmania,TAS,-42.8899,147.4437,4.0
7019,Rokeby,Tasmania,TAS,-42.8987,147.4492,4.0
7020,Sandford,Tasmania,TAS,-42.9333,147.5,4.0
7020,Clifton Beach,Tasmania,TAS,-42.9853,147.5211,4.0
7021,Lauderdale,Tasmania,TAS,-42.9136,147.4875,4.0
7022,South Arm,Tasmania,TAS,-43.0247,147.4149,4.0
7023,Opossum Bay,Tasmania,TAS,-42.9954,147.4038,4.0
7024,Cremorne,Tasmania,TAS,-42.9578,147.5315,4.0
7025,Richmond,Tasmania,TAS,-42.7355,147.4383,4.0
7025,Dulcot,Tasmania,TAS,-42.7883,147.4014,4.0
7026,Campania,Tasmania,TAS,-42.6648,147.4232,4.0
7027,Colebrook,Tasmania,TAS,-42.5333,147.3667,4.0
7030,Steppes,Tasmania,TAS,-42.1104,146.8924,4.0
7030,Flintstone,Tasmania,TAS,-42.5042,147.1203,3.0
7030,Bothwell,Tasmania,TAS,-42.3848,147.0083,4.0
7030,Pontville,Tasmania,TAS,-42.687,147.2686,4.0
7030,Hermitage,Tasmania,TAS,-42.25,146.8833,4.0
