postcode,place_name,state_name,state_code,latitude,longitude,accuracy
872,Ngaanyatjarra-Giles,Western Australia,WA,-23.3256,133.0557,3.0
872,Gibson Desert North,Western Australia,WA,-23.3256,133.0557,3.0
872,Tjirrkarli,Western Australia,WA,-23.3256,133.0557,3.0
872,Wannan,Western Australia,WA,-23.3256,133.0557,3.0
872,Gibson Desert South,Western Australia,WA,-23.3256,133.0557,3.0
872,Patjarr,Western Australia,WA,-23.3256,133.0557,3.0
872,Wingellina,Western Australia,WA,-23.3256,133.0557,3.0
872,Kiwirrkurra,Western Australia,WA,-23.3256,133.0557,3.0
872,Tjukurla,Western Australia,WA,-23.3256,133.0557,3.0
6000,Perth,Western Australia,WA,-31.9522,115.8614,4.0
6000,Perth GPO,Western Australia,WA,-31.9522,115.8614,3.0
6000,City Delivery Centre,Western Australia,WA,-31.9522,115.8614,3.0
6001,Perth,Western Australia,WA,-31.9522,115.8614,4.0
6003,Northbridge,Western Australia,WA,-31.9478,115.8588,4.0
6003,Highgate,Western Australia,WA,-31.9397,115.8701,4.0
6004,East Perth,Western Australia,WA,-31.9587,115.8711,4.0
6005,West Perth,Western Australia,WA,-31.949,115.842,4.0
6005,Kings Park,Western Australia,WA,-31.955,115.8359,3.0
6006,North Perth,Western Australia,WA,-31.9272,115.8528,4.0
6007,Leederville,Western Australia,WA,-31.9363,115.8419,4.0
6007,West Leederville,Western Australia,WA,-31.9414,115.8312,4.0
6008,Shenton Park,Western Australia,WA,-31.9583,115.7972,4.0
6008,Daglish,Western Australia,WA,-31.9483,115.819,4.0
6008,Subiaco,Western Australia,WA,-31.9485,115.8268,4.0
6008,Subiaco East,Western Australia,WA,-31.9542,115.7986,3.0
6009,Nedlands,Western Australia,WA,-31.9818,115.8073,4.0
6009,Broadway Nedlands,Western Australia,WA,-31.9853,115.8052,3.0
6009,Dalkeith,Western Australia,WA,-31.9952,115.7998,4.0
6009,Nedlands DC,Western Australia,WA,-31.9875,115.8014,3.0
6009,Crawley,Western Australia,WA,-31.9842,115.816,4.0
6010,Karrakatta,Western Australia,WA,-31.9676,115.798,4.0
6010,Claremont,Western Australia,WA,-31.9796,115.7823,4.0
6010,Mount Claremont,Western Australia,WA,-31.97,115.7775,3.0
6010,Swanbourne,Western Australia,WA,-31.9688,115.7673,4.0
6010,Claremont North,Western Australia,WA,-31.97,115.7775,3.0
6011,Peppermint Grove,Western Australia,WA,-31.9988,115.7682,4.0
6011,Cottesloe,Western Australia,WA,-32.0,115.7667,4.0
6012,Mosman Park,Western Australia,WA,-32.0054,115.7638,4.0
6014,Wembley,Western Australia,WA,-31.9333,115.8,4.0
6014,Floreat,Western Australia,WA,-31.9386,115.7921,4.0
6014,Jolimont,Western Australia,WA,-31.9456,115.8095,4.0
6015,City Beach,Western Australia,WA,-31.9344,115.7617,4.0
6016,Mount Hawthorn,Western Australia,WA,-31.92,115.8351,4.0
6016,Glendalough,Western Australia,WA,-31.9199,115.8194,4.0
6017,Herdsman,Western Australia,WA,-31.9106,115.8055,4.0
6017,Osborne Park DC,Western Australia,WA,-31.9007,115.8108,3.0
6017,Osborne Park,Western Australia,WA,-31.9007,115.8108,4.0
6018,Churchlands,Western Australia,WA,-31.9214,115.7932,4.0
6018,Woodlands,Western Australia,WA,-31.8873,115.7865,3.0
