suburb,state,postcode,property_type,buy_or_rent,bedrooms,available_in_the_past_month,in_the_past_12_months,median_time_on_market,interested,rental_yield,Median__price
melbourne,vic,3000,house,buy,all,4 houses ,5 sold ,38 days ,265 buyers ,2.5% ,–
east-melbourne,vic,3002,house,buy,all,12 houses ,21 sold ,67 days ,1806 buyers ,2.2% ,"$3,625,000"
west-melbourne,vic,3003,house,buy,all,6 houses ,18 sold ,35 days ,749 buyers ,2.6% ,"$1,430,000"
melbourne,vic,3004,house,buy,all,4 houses ,5 sold ,38 days ,265 buyers ,2.5% ,–
seddon,vic,3011,house,buy,all,26 houses ,98 sold ,42 days ,2132 buyers ,2.7% ,"$1,082,500"
maidstone,vic,3012,house,buy,all,29 houses ,67 sold ,36 days ,1030 buyers ,3.1% ,"$880,000"
west-footscray,vic,3012,house,buy,all,38 houses ,125 sold ,61 days ,2052 buyers ,2.6% ,"$970,000"
brooklyn,vic,3012,house,buy,all,11 houses ,24 sold ,156 days ,579 buyers ,2.6% ,"$801,875"
kingsville,vic,3012,house,buy,all,12 houses ,39 sold ,31 days ,647 buyers ,2.5% ,"$1,300,000.00"
yarraville,vic,3013,house,buy,all,57 houses ,182 sold ,42 days ,4016 buyers ,2.6% ,"$1,257,500"
newport,vic,3015,house,buy,all,66 houses ,169 sold ,50 days ,3141 buyers ,2.6% ,"$1,260,000"
south-kingsville,vic,3015,house,buy,all,8 houses ,26 sold ,25 days ,666 buyers ,2.8% ,"$992,500"
williamstown-north,vic,3016,house,buy,all,4 houses ,14 sold ,106 days ,259 buyers ,3.0% ,"$1,021,500"
williamstown,vic,3016,house,buy,all,36 houses ,180 sold ,58 days ,2798 buyers ,2.5% ,"$1,601,000"
altona,vic,3018,house,buy,all,66 houses ,128 sold ,41 days ,1997 buyers ,2.3% ,"$1,192,500"
albion,vic,3020,house,buy,all,18 houses ,35 sold ,105 days ,666 buyers ,2.6% ,"$800,000"
sunshine-north,vic,3020,house,buy,all,46 houses ,112 sold ,60 days ,1082 buyers ,2.6% ,"$758,250"
sunshine,vic,3020,house,buy,all,50 houses ,109 sold ,76 days ,1288 buyers ,2.4% ,"$860,000"
albanvale,vic,3021,house,buy,all,32 houses ,63 sold ,35 days ,675 buyers ,3.1% ,"$600,000"
st-albans,vic,3021,house,buy,all,168 houses ,326 sold ,50 days ,1595 buyers ,2.8% ,"$690,000"
kealba,vic,3021,house,buy,all,13 houses ,41 sold ,50 days ,639 buyers ,3.1% ,"$699,777"
kings-park,vic,3021,house,buy,all,29 houses ,79 sold ,27 days ,514 buyers ,3.1% ,"$630,000"
ardeer,vic,3022,house,buy,all,19 houses ,30 sold ,61 days ,408 buyers ,2.7% ,"$679,500"
deer-park,vic,3023,house,buy,all,57 houses ,189 sold ,43 days ,1603 buyers ,3.2% ,"$630,000"
caroline-springs,vic,3023,house,buy,all,93 houses ,320 sold ,34 days ,3372 buyers ,3.3% ,"$750,000"
wyndham-vale,vic,3024,house,buy,all,143 houses ,433 sold ,25 days ,2397 buyers ,3.4% ,"$575,000"
mambourin,vic,3024,house,buy,all,37 houses ,36 sold ,23 days ,234 buyers ,3.3% ,"$638,250"
altona-north,vic,3025,house,buy,all,71 houses ,164 sold ,60 days ,1814 buyers ,2.7% ,"$963,000"
williams-landing,vic,3027,house,buy,all,64 houses ,140 sold ,78 days ,1482 buyers ,3.2% ,"$790,000"
altona-meadows,vic,3028,house,buy,all,63 houses ,193 sold ,43 days ,1795 buyers ,2.9% ,"$750,000"
laverton,vic,3028,house,buy,all,58 houses ,87 sold ,85 days ,604 buyers ,2.9% ,"$600,000"
seabrook,vic,3028,house,buy,all,22 houses ,59 sold ,31 days ,642 buyers ,2.9% ,"$780,000"
hoppers-crossing,vic,3029,house,buy,all,161 houses ,531 sold ,34 days ,3411 buyers ,3.2% ,"$630,000"
point-cook,vic,3030,house,buy,all,388 houses ,1183 sold ,42 days ,5749 buyers ,3.1% ,"$760,000"
quandong,vic,3030,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
cocoroc,vic,3030,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
werribee-south,vic,3030,house,buy,all,12 houses ,38 sold ,61 days ,306 buyers ,3.2% ,"$822,500"
maribyrnong,vic,3032,house,buy,all,28 houses ,117 sold ,41 days ,1512 buyers ,3.0% ,"$1,011,888"
travancore,vic,3032,house,buy,all,3 houses ,8 sold ,58 days ,278 buyers ,2.1% ,–
ascot-vale,vic,3032,house,buy,all,46 houses ,130 sold ,36 days ,3158 buyers ,2.5% ,"$1,297,500.00"
keilor-east,vic,3033,house,buy,all,58 houses ,235 sold ,41 days ,3245 buyers ,2.6% ,"$1,030,000"
keilor,vic,3036,house,buy,all,23 houses ,72 sold ,47 days ,2172 buyers ,2.6% ,"$1,000,000"
hillside,vic,3037,house,buy,all,41 houses ,159 sold ,30 days ,2774 buyers ,3.3% ,"$800,000"
taylors-hill,vic,3037,house,buy,all,24 houses ,136 sold ,32 days ,1972 buyers ,3.2% ,"$901,000"
delahey,vic,3037,house,buy,all,21 houses ,68 sold ,24 days ,992 buyers ,3.3% ,"$650,000"
keilor-downs,vic,3038,house,buy,all,18 houses ,97 sold ,37 days ,773 buyers ,3.0% ,"$785,000.00"
taylors-lakes,vic,3038,house,buy,all,42 houses ,127 sold ,30 days ,3093 buyers ,2.9% ,"$925,000"
keilor-lodge,vic,3038,house,buy,all,5 houses ,19 sold ,30 days ,496 buyers ,3.0% ,"$870,000"
moonee-ponds,vic,3039,house,buy,all,43 houses ,155 sold ,54 days ,3966 buyers ,2.2% ,"$1,540,000"
essendon,vic,3040,house,buy,all,53 houses ,192 sold ,52 days ,4527 buyers ,2.0% ,"$1,792,500"
aberfeldie,vic,3040,house,buy,all,14 houses ,45 sold ,66 days ,1764 buyers ,1.8% ,"$1,945,000"
essendon-west,vic,3040,house,buy,all,6 houses ,22 sold ,34 days ,678 buyers ,2.1% ,"$1,435,000"
strathmore-heights,vic,3041,house,buy,all,5 houses ,10 sold ,71 days ,532 buyers ,2.7% ,"$920,000"
essendon-north,vic,3041,house,buy,all,4 houses ,22 sold ,43 days ,252 buyers ,2.1% ,"$1,530,000"
essendon-fields,vic,3041,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
keilor-park,vic,3042,house,buy,all,10 houses ,38 sold ,45 days ,565 buyers ,2.6% ,"$877,500"
airport-west,vic,3042,house,buy,all,27 houses ,96 sold ,45 days ,1735 buyers ,2.6% ,"$926,500"
niddrie,vic,3042,house,buy,all,16 houses ,72 sold ,52 days ,1580 buyers ,2.4% ,"$1,305,000"
gowanbrae,vic,3043,house,buy,all,9 houses ,32 sold ,72 days ,607 buyers ,3.0% ,"$900,000"
tullamarine,vic,3043,house,buy,all,22 houses ,54 sold ,47 days ,890 buyers ,2.9% ,"$770,000"
gladstone-park,vic,3043,house,buy,all,14 houses ,123 sold ,22 days ,925 buyers ,3.1% ,"$740,000.00"
pascoe-vale-south,vic,3044,house,buy,all,32 houses ,121 sold ,44 days ,2223 buyers ,2.3% ,"$1,175,000.00"
melbourne-airport,vic,3045,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
oak-park,vic,3046,house,buy,all,16 houses ,84 sold ,41 days ,1177 buyers ,2.4% ,"$1,150,000"
glenroy,vic,3046,house,buy,all,72 houses ,197 sold ,48 days ,2166 buyers ,2.8% ,"$827,000"
hadfield,vic,3046,house,buy,all,16 houses ,82 sold ,54 days ,754 buyers ,2.7% ,"$875,000"
dallas,vic,3047,house,buy,all,35 houses ,79 sold ,31 days ,778 buyers ,3.5% ,"$532,500"
meadow-heights,vic,3048,house,buy,all,54 houses ,126 sold ,55 days ,1174 buyers ,3.6% ,"$575,500.00"
attwood,vic,3049,house,buy,all,8 houses ,36 sold ,24 days ,630 buyers ,2.8% ,"$1,002,750.00"
parkville,vic,3052,house,buy,all,11 houses ,26 sold ,84 days ,1239 buyers ,2.6% ,"$1,915,000"
princes-hill,vic,3054,house,buy,all,9 houses ,25 sold ,33 days ,974 buyers ,2.3% ,"$1,825,000"
carlton-north,vic,3054,house,buy,all,21 houses ,80 sold ,45 days ,2403 buyers ,2.3% ,"$1,625,000"
brunswick-west,vic,3055,house,buy,all,23 houses ,97 sold ,37 days ,2190 buyers ,2.6% ,"$1,276,000"
brunswick-east,vic,3057,house,buy,all,26 houses ,87 sold ,58 days ,2276 buyers ,2.7% ,"$1,360,000"
coburg-north,vic,3058,house,buy,all,33 houses ,118 sold ,41 days ,2202 buyers ,2.9% ,"$985,000"
coburg,vic,3058,house,buy,all,73 houses ,299 sold ,45 days ,4174 buyers ,2.6% ,"$1,216,000"
greenvale,vic,3059,house,buy,all,123 houses ,322 sold ,36 days ,4312 buyers ,3.3% ,"$884,500"
fawkner,vic,3060,house,buy,all,54 houses ,149 sold ,42 days ,1803 buyers ,2.9% ,"$780,000"
campbellfield,vic,3061,house,buy,all,11 houses ,41 sold ,50 days ,402 buyers ,3.5% ,"$620,000"
somerton,vic,3062,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
yuroke,vic,3063,house,buy,all,3 houses ,1 sold ,– ,92 buyers ,5.7% ,–
oaklands-junction,vic,3063,house,buy,all,1 houses ,7 sold ,36 days ,121 buyers ,1.4% ,–
kalkallo,vic,3064,house,buy,all,79 houses ,198 sold ,46 days ,971 buyers ,3.5% ,"$650,000.00"
mickleham,vic,3064,house,buy,all,197 houses ,430 sold ,45 days ,2476 buyers ,3.5% ,"$680,000"
roxburgh-park,vic,3064,house,buy,all,88 houses ,265 sold ,36 days ,1851 buyers ,3.6% ,"$650,000"
craigieburn,vic,3064,house,buy,all,269 houses ,1065 sold ,42 days ,4928 buyers ,3.5% ,"$653,000"
fitzroy,vic,3065,house,buy,all,20 houses ,89 sold ,48 days ,2469 buyers ,2.6% ,"$1,500,000"
abbotsford,vic,3067,house,buy,all,23 houses ,81 sold ,38 days ,2031 buyers ,2.8% ,"$1,340,000"
